item_name,year,total_increase,jan,percent_jan
Alcoholic beverages,1998,0.0193480316075052,0.003658536585365857,0.1890908935639061
Alcoholic beverages,1999,0.027193354590384078,0.0023923444976077235,0.08797533565254533
Alcoholic beverages,2000,0.0270329762305741,0.0034924330616996624,0.12919158556244154
Alcoholic beverages,2001,0.024660795373785627,0.00396600566572225,0.16082229326382982
Alcoholic beverages,2002,0.021915653827966786,0.004975124378109541,0.22701236372700573
Alcoholic beverages,2003,0.020380132696652953,0.004867495943753353,0.2388353410747294
Alcoholic beverages,2004,0.02724157220991108,0.0037095919448861814,0.1361739299149757
Alcoholic beverages,2005,0.012846256819612711,0.00206291903042799,0.16058522411590576
Alcoholic beverages,2006,0.0237379788794152,0.008146639511201537,0.3431901069836251
Alcoholic beverages,2007,0.03722649459457206,0.009288910989557309,0.24952419213040036
Alcoholic beverages,2008,0.043575094989378504,0.008246128488193838,0.1892394839346614
Alcoholic beverages,2009,0.018701366462148594,0.0052207821997936055,0.27916581445320715
Alcoholic beverages,2010,0.009578590581778457,0.0014364063724210396,0.14996009696390447
Alcoholic beverages,2011,0.013843976042629325,0.0033896037285641167,0.24484322409448092
Alcoholic beverages,2012,0.018546471038089152,0.010420744715947894,0.5618721046471138
Alcoholic beverages,2013,0.018142414323267464,0.004257855008377387,0.23469064990521854
Alcoholic beverages,2014,0.012908360678565267,0.002273074248104301,0.17609317749222883
Alcoholic beverages,2015,0.005342808719614567,-5.777539605452686e-4,-0.1081367480786301
Alcoholic beverages,2016,0.01363041195978032,0.005859375,0.4298751216976743
Alcoholic beverages,2017,0.013809174235576926,0.004527266303499422,0.32784482448166313
Alcoholic beverages,2018,0.017479421407279983,0.002301542600824158,0.13167155520751914
Alcoholic beverages,2019,0.004907667563684104,0.0022179659221681636,0.45193890853176977
Alcoholic beverages,2020,0.027580457421333526,0.004877932802612284,0.17686192538776369
Alcoholic beverages,2021,0.022949869312733462,0.0014186748497475588,0.06181624960105651
Alcoholic beverages,2022,0.05636446635027226,0.0050450246787987485,0.08950718432153451
Alcoholic beverages,2023,0.02509835180532416,0.00545315310502037,0.21727136296908478
Car and truck rental,1998,0.01622161433764857,-0.02200000000000002,-1.3562152041144546
Car and truck rental,1999,0.0656491212635576,-0.012807881773398977,-0.19509601235909832
Car and truck rental,2000,-0.004623162715269302,-0.014787430683918745,3.198552937598124
Car and truck rental,2001,-0.0335924258048681,-0.017657992565055736,0.5256539872299666
Car and truck rental,2002,0.008610337724354933,0.0077145612343296754,0.8959649994341695
Car and truck rental,2003,0.03376912588158676,-9.596928982725794e-4,-0.02841924015557269
Car and truck rental,2004,-0.0372365752695325,-0.024186046511627812,0.6495239247046756
Car and truck rental,2005,0.08619311175860978,-0.003875968992248069,-0.044968430924074404
Car and truck rental,2006,0.03228078904570164,-0.030330062444246186,-0.9395700458655547
Car and truck rental,2007,-0.002725753219692817,-0.022980935875216657,8.431040531910856
Car and truck rental,2008,0.04386539176319881,-0.020424277517502754,-0.4656125637213127
Car and truck rental,2009,0.07002558695036276,0.0026640505408446202,0.0380439587422954
Car and truck rental,2010,-2.1774701730958856e-4,-0.041867865240046154,192.27756025020182
Car and truck rental,2011,0.0026933368484948206,-0.05011782056008851,-18.60807740706366
Car and truck rental,2012,0.019348007068134332,-0.044202501450583465,-2.2846023001192637
Car and truck rental,2013,0.0168797150403458,0.005700644316521508,0.3377215967743448
Car and truck rental,2014,0.010560771642269984,-0.002789124783704633,-0.26410236658664504
Car and truck rental,2015,-0.07842490809480018,0.011758662926231622,-0.14993531024630247
Car and truck rental,2016,0.10849945713054499,0.020415568707071508,0.1881628650225207
Car and truck rental,2017,-0.018705108295009265,-0.04728287637497952,2.527805540029679
Car and truck rental,2018,0.07130460164076902,-0.04857970920367927,-0.681298374660625
Car and truck rental,2019,0.04987635403108248,-0.05833875349121931,-1.1696675634081661
Car and truck rental,2020,0.10999102406252326,-0.042799083721273945,-0.3891143307925313
Car and truck rental,2021,0.35442726657744994,-0.06331255440429062,-0.17863341896822002
Car and truck rental,2022,-0.031672369691801316,-0.10932814443578487,3.451846056977715
Car and truck rental,2023,-0.11953659043754472,-0.04612470008359648,0.38586260420147783
Cereals and bakery products,1998,0.021688878819532964,0.0033632286995515237,0.15506696899991926
Cereals and bakery products,1999,0.019699264501524594,0.010422380691168298,0.5290746103927725
Cereals and bakery products,2000,0.025717192236656583,-0.0016137708445401744,-0.06275066226864182
Cereals and bakery products,2001,0.02390245932489732,0.002097535395909844,0.08775395733965358
Cereals and bakery products,2002,0.01026915853798438,0.007168458781361853,0.698057075937292
Cereals and bakery products,2003,0.028167463699188544,0.012671059300557452,0.4498473641743784
Cereals and bakery products,2004,0.01715154142698838,0.00492853622474132,0.28735237854401496
Cereals and bakery products,2005,0.009739922814369306,0.005813953488372103,0.5969198728961977
Cereals and bakery products,2006,0.030387138132974334,0.01055662188099804,0.34740428120615335
Cereals and bakery products,2007,0.05309310682415791,0.006871508379888258,0.12942373861537992
Cereals and bakery products,2008,0.11189971721098502,0.009714697011847573,0.08681609975412785
Cereals and bakery products,2009,-0.00805776636404043,0.005461090716540884,-0.6777424995731091
Cereals and bakery products,2010,-0.0016751259395627605,-0.001171226082487875,0.6991868819090624
Cereals and bakery products,2011,0.05988548402182903,0.011001947388583844,0.1837164309229511
Cereals and bakery products,2012,0.007782649008389653,0.0025564198092460355,0.3284768215154286
Cereals and bakery products,2013,0.004548325124303143,0.0038088913925022894,0.8374272481424371
Cereals and bakery products,2014,0.005130490982034774,0.006996772720013977,1.3637627947333468
