item_name,current,previous,change,change_percent,weight,lowest,category
Fresh milk other than whole,180.276,182.314,-2.0379999999999825,-0.011304888060529313,NA,NA,Food
Other dairy and related products,188.444,190.526,-2.082000000000022,-0.011048375114092368,0.221,1,Food
Sporting goods,126.442,127.802,-1.3600000000000136,-0.010755919710222977,0.548,NA,Goods
Lunchmeats,187.408,189.349,-1.9410000000000025,-0.010357081874839935,NA,NA,Food
Information and information processing,70.556,71.256,-0.7000000000000028,-0.009921197346788407,3.333,NA,Meta
Jewelry and watches,196.718,198.667,-1.9490000000000123,-0.009907583444321376,0.157,NA,Goods
"Sewing machines, fabric and supplies",106.657,107.682,-1.0250000000000057,-0.009610245928537327,0.027,1,Goods
Communication,74.976,75.652,-0.6760000000000019,-0.009016218523260802,3.417,NA,Meta
"Tools, hardware and supplies",122.086,123.078,-0.9920000000000044,-0.00812541978605249,0.252,1,Goods
Educational books and supplies,698.591,704.119,-5.52800000000002,-0.007913070738100004,0.086,1,Goods
Sports equipment,85.948,86.614,-0.666000000000011,-0.007748871410620504,0.224,1,Goods
Fuel oil,379.975,382.899,-2.923999999999978,-0.007695243108099159,0.18,1,Energy
Commodities less food and beverages,176.74,178.023,-1.282999999999987,-0.007259250876994382,24.603,NA,Meta
"Purchase of pets, pet supplies, accessories",129.542,130.458,-0.9159999999999968,-0.0070710657547358915,NA,NA,Goods
"Rice, pasta, cornmeal",294.232,296.163,-1.9309999999999832,-0.006562848364555803,0.147,1,Food
Commodities less food,180.471,181.623,-1.1519999999999868,-0.006383297039413462,25.474,NA,Meta
"Commodities less food, energy, and used cars and trucks",163.792,164.722,-0.9300000000000068,-0.005677932988180172,17.3,NA,Meta
Fuel oil and other fuels,380.435,382.466,-2.031000000000006,-0.005338625520785433,0.254,NA,Energy
Housekeeping supplies,233.471,234.581,-1.1099999999999852,-0.004754337797842067,0.954,NA,Goods
Pets and pet products,240.037,241.168,-1.1310000000000002,-0.004711773601569759,0.572,1,Goods
"Fresh biscuits, rolls, muffins",232.083,233.141,-1.0579999999999927,-0.0045587139083861925,0.113,1,Food
Other lodging away from home including hotels and motels,390.38,392.096,-1.7160000000000082,-0.004395716993698469,0.8,1,Services
New vehicles,178.2,178.842,-0.6420000000000243,-0.0036026936026937397,4.06,1,Goods
"Information technology, hardware and services",7.106,7.13,-0.02400000000000002,-0.0033774275260343403,1.565,NA,Meta
Cookies,349.456,350.42,-0.9639999999999986,-0.0027585733253971847,NA,NA,Food
New trucks,190.197,190.623,-0.4259999999999877,-0.0022397829618763057,NA,NA,Goods
Other meats,286.612,287.128,-0.5159999999999627,-0.0018003433212843939,0.25,1,Food
Lodging away from home,189.58,189.834,-0.2539999999999907,-0.0013398037767696522,0.925,NA,Services
Music instruments and accessories,119.219,119.361,-0.14200000000001012,-0.0011910853135826515,0.041,1,Goods
Pet food,190.83,191.055,-0.22499999999999432,-0.0011790598962426993,NA,NA,Goods
Beverage materials including coffee and tea,141.242,141.393,-0.15100000000001046,-0.0010690870987384098,0.287,NA,Food
